SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
1,WR,N,183161175,SOSP,5810,3,S,C,M,C,9,6,0,3,2,0,0,3,2,63,20.7,300,6/10/14,80,COCA,3,F,
1,WR,N,183161176,SOSP,5810,3,S,C,M,C,9,6,0,3,2,0,0,3,2,65,20.9,300,6/10/14,83,COCA,4,F,
1,WR,N,183161177,SOSP,5810,2,S,J,U,9,9,1,0,0,1,1,F,1,1,67,18.6,300,8/12/14,82,BLCA,3,F,
1,WR,N,183161178,SOSP,5810,2,S,J,U,9,9,1,0,0,2,0,0,1,0,65,17.8,300,8/12/14,82,BLCA,2,F,
1,WR,N,183161179,SOSP,5810,2,S,J,U,9,9,1,0,0,1,1,F,0,0,999,20.2,300,8/12/14,91,BLCA,10,F,
1,WR,N,183161180,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/12/14,110,BLCA,1,F,
1,WR,N,183161181,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/12/14,110,BLCA,1,F,
1,WR,N,183161182,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/12/14,110,BLCA,1,F,
1,WR,N,183161183,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/12/14,110,BLCA,2,F,
1,WR,N,183161184,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/12/14,110,BLCA,3,F,
1,WR,N,183161185,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/12/14,111,BLCA,6,F,
1,WR,N,183161186,SOSP,5810,3,A,B,F,B,9,6,2,0,2,0,0,3,2,61,17.8,300,8/14/14,83,COEA,9,F,
1,WR,N,183161187,SOSP,5810,2,S,J,U,9,9,1,0,0,2,0,0,2,0,63,17.2,300,8/14/14,103,COEA,4,F,
1,WR,N,183161188,SOSP,5810,2,S,J,U,9,9,2,0,0,1,0,0,1,0,64,17.9,300,8/15/14,84,POMA,1,F,
1,WR,N,183161189,SOSP,5810,2,S,J,U,9,9,1,0,0,3,1,0,1,0,67,20.1,300,8/18/14,71,BLCA,2,F,
1,WR,N,183161190,SOSP,5810,2,S,J,U,9,9,2,0,0,1,1,F,1,0,63,999.9,300,8/18/14,83,BLCA,1,F,
1,WR,N,183161191,SOSP,5810,2,S,J,U,9,9,1,0,0,1,1,0,1,0,68,999.9,300,8/18/14,83,BLCA,2,F,
1,WR,N,183161192,SOSP,5810,2,S,J,U,9,9,1,0,0,3,1,0,1,0,62,999.9,300,8/18/14,83,BLCA,2,F,
1,WR,N,183161193,SOSP,5810,2,S,J,U,9,9,1,0,0,2,1,0,1,0,66,999.9,300,8/18/14,105,BLCA,3,F,
1,WR,N,183161194,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.9,300,8/28/14,82,BLCA,8,F,
1,WR,N,183161195,SOSP,5810,3,M,C,M,C,9,9,0,2,9,3,F,9,9,63,22,300,8/28/14,85,BLCA,4,F,
