SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,Comment,NOTE
1C,WR,N,311175770,LISP,,2,S,J,U,9,9,3,0,0,9,0,0,1,0,62,17.3,300,9/19/17,93,BLCA,10,F,
1C,WR,N,311175771,LISP,,2,S,J,U,9,9,2,0,0,2,0,0,1,0,62,17.3,300,9/19/17,101,BLCA,1,F,
1C,WR,N,311175772,LISP,,2,S,J,U,9,9,1,0,0,3,0,0,1,0,62,16.8,300,9/19/17,102,BLCA,7,F,
1C,WR,N,311175773,SAVS,5420,2,S,9,U,9,9,2,0,0,5,0,0,1,0,61,17,300,9/19/17,110,BLCA,6,F,
1C,WR,N,311175774,LISP,,2,S,J,U,9,9,3,0,0,2,0,0,1,0,60,15,300,9/28/17,85,BLCA,2,F,
1C,WR,N,311175775,LISP,,2,S,J,U,9,9,3,0,0,1,0,A,1,0,59,16.2,300,10/3/17,92,BLCA,3,T,Replacing R1-3 and R5-6
1C,WR,N,311175776,LISP,,2,S,J,U,9,9,3,0,0,0,0,0,1,0,56,13.6,300,10/3/17,103,BLCA,7,F,
1C,WR,N,311175777,SAVS,5420,2,S,J,U,9,9,3,0,0,3,0,0,1,0,69,15.6,300,10/3/17,103,BLCA,8,F,
1C,WR,N,311175778,LISP,,2,J,9,U,9,9,9,0,0,3,0,0,2,0,63,999.9,300,10/3/17,121,BLCA,7,F,
1C,WR,N,311175779,LISP,,2,J,9,U,9,9,9,0,0,3,0,0,1,0,61,15.2,300,10/3/17,131,BLCA,7,F,
1,WR,N,252133782,SOSP,5810,3,A,M,F,B,9,6,4,0,1,3,F,1,0,61,20.8,300,8/15/17,81,BLCA,3,F,
1,WR,N,252133783,SOSP,5810,2,S,J,U,9,9,1,0,0,3,0,0,2,1,62,16.7,300,8/15/17,81,BLCA,2,F,
1,WR,N,252133784,SOSP,5810,2,S,J,U,9,9,0,0,0,1,0,0,1,0,61,16.2,300,8/15/17,81,BLCA,2,F,
1,WR,N,252133785,SOSP,5810,2,S,J,U,9,9,1,0,0,1,3,A,1,0,67,22.1,300,8/15/17,91,BLCA,1,F,
1,WR,N,252133786,SOSP,5810,2,S,J,U,9,9,0,0,0,2,0,0,1,0,64,18.9,300,8/15/17,91,BLCA,1,F,
1,WR,N,252133787,SOSP,5810,3,S,C,M,C,9,6,0,2,2,1,0,2,0,64,20.9,300,8/15/17,91,BLCA,1,F,
1,WR,N,252133788,SOSP,5810,3,A,9,U,9,9,9,0,0,2,3,0,3,0,56,19.1,300,8/15/17,91,BLCA,1,F,
1,WR,N,252133789,SOSP,5810,2,S,J,U,9,9,2,0,0,2,1,0,1,0,61,20.9,300,8/15/17,91,BLCA,1,F,
1,WR,N,252133790,SOSP,5810,2,S,J,U,9,9,2,0,0,0,0,0,0,0,63,20.3,300,8/15/17,91,BLCA,1,F,
1,WR,N,252133791,SOSP,5810,2,S,J,U,9,9,2,0,0,2,0,0,1,0,63,17.6,300,8/15/17,94,BLCA,2,F,
1,WR,N,252133792,SOSP,5810,2,S,J,U,9,9,3,0,0,1,0,0,1,0,65,18.1,300,8/15/17,105,BLCA,2,F,
1,WR,N,252133793,SOSP,5810,2,S,J,U,9,9,2,0,0,1,0,0,1,0,66,19.5,300,8/15/17,105,BLCA,2,F,
1,WR,N,252133794,SOSP,5810,2,J,9,U,9,9,9,0,0,1,0,0,1,0,61,19.3,300,9/1/17,75,BLCA,3,F,
1,WR,N,252133795,SOSP,5810,2,S,J,U,9,9,2,0,0,0,1,0,0,0,62,19.6,300,9/1/17,85,BLCA,8,F,
1,WR,N,252133796,SOSP,5810,2,S,J,U,9,9,3,0,0,1,1,0,1,0,66,22.9,300,9/1/17,85,BLCA,3,F,
1,WR,N,252133797,SOSP,5810,2,S,J,U,9,9,1,0,0,1,0,0,1,0,66,18.9,300,9/1/17,11,BLCA,2,F,
1,WR,N,252133798,SOSP,5810,2,S,J,U,9,9,2,0,0,2,3,A,2,0,64,19.9,300,9/8/17,90,BLCA,1,F,
1,WR,N,252133799,SOSP,5810,2,S,J,U,9,9,3,0,0,2,0,0,1,0,65,19.2,300,9/8/17,90,BLCA,3,F,
1,WR,N,252133800,SOSP,5810,2,S,J,U,9,9,3,0,0,3,0,0,1,0,65,20.6,300,9/8/17,94,BLCA,70,F,
1,WR,N,252133801,SOSP,5810,3,S,9,U,9,9,6,0,0,2,2,A,1,0,64,21.1,300,9/8/17,102,BLCA,7,F,
1,WR,N,252133802,SOSP,5810,U,9,9,U,9,9,9,0,0,2,3,0,1,0,63,20.9,300,9/8/17,103,BLCA,3,F,
1,WR,N,252133803,SOSP,5810,2,J,9,U,9,9,9,0,0,0,3,0,1,0,65,21.7,300,9/19/17,93,BLCA,7,F,
1,WR,N,252133804,SOSP,5810,3,A,9,U,9,9,9,0,0,0,2,0,2,0,65,23.1,300,10/3/17,100,BLCA,10,F,
1,WR,N,252133805,SOSP,5810,3,A,9,U,9,9,6,0,0,2,1,0,2,0,62,21.3,300,10/12/17,94,BLCA,8,F,
,WR,U,,SOSP,5810,3,A,9,U,9,9,6,0,0,4,0,0,1,0,59,21.1,0,10/12/17,94,BLCA,8,F,
,WR,U,,RUHU,4330,2,J,I,F,J,9,9,0,0,2,0,0,1,0,46,3.4,0,9/8/17,115,BLCA,8,T,R5 width = 4.5 mm
0,WR,N,225053970,LISP,,3,A,M,U,9,9,9,0,0,1,3,F,1,0,57,18.5,300,8/15/17,83,BLCA,1,F,
0,WR,N,225053971,HAFL,,2,J,9,U,9,9,9,0,0,1,3,F,1,0,65,11.1,300,8/15/17,93,BLCA,1,F,
0,WR,N,225053972,DUFL,,2,J,9,U,9,9,9,0,0,1,1,0,1,0,71,11.2,300,8/15/17,93,BLCA,1,F,
0,WR,N,225053973,ORJU,5671,2,J,9,U,9,9,9,0,0,1,0,0,0,0,77,17,300,8/15/17,100,BLCA,7,F,
0,WR,N,225053974,MOCH,,2,S,I,U,9,9,1,0,0,1,0,0,1,0,67,10.5,300,8/15/17,100,BLCA,9,F,
0,WR,N,225053975,LISP,,2,S,J,U,9,9,1,0,0,1,1,F,1,0,59,14.8,300,8/15/17,104,BLCA,1,F,
0,WR,N,225053976,PUFI,,2,S,J,U,9,9,1,0,0,2,1,0,1,0,76,21.1,300,8/15/17,113,BLCA,6,F,
0,WR,N,225053977,WEWP,,3,S,A,U,9,9,6,0,0,1,1,0,1,0,84,12.1,300,8/15/17,113,BLCA,1,F,
0,WR,N,225053978,ORJU,5671,2,J,9,M,H,9,9,0,0,2,2,0,1,0,75,18.6,300,8/15/17,120,BLCA,7,F,
0,WR,L,225053979,,,,,,,,,,,,,,,,,,,0,8/15/17,,,,F,
0,WR,N,225053980,CHSP,,3,M,A,U,9,9,9,0,0,0,3,F,1,0,66,12.2,300,8/15/17,123,BLCA,7,F,
0,WR,N,225053981,CHSP,,2,S,J,U,9,9,2,0,0,4,0,0,1,0,67,12.8,300,9/1/17,123,BLCA,8,F,
0,WR,N,225053982,DUFL,,2,S,J,U,9,9,3,0,0,1,0,0,1,0,69,11.3,300,9/1/17,95,BLCA,4,F,
0,WR,N,225053983,ORJU,5671,3,A,M,F,A,9,9,0,0,2,3,F,1,0,69,17.7,300,9/1/17,110,BLCA,2,F,
0,WR,N,225053984,ORJU,5671,2,J,9,U,9,9,3,0,0,1,0,0,1,0,69,16.2,300,9/1/17,110,BLCA,2,F,
0,WR,N,225053985,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,71,16.6,300,9/8/17,110,BLCA,2,F,
0,WR,N,225053986,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,75,18.6,300,9/8/17,83,BLCA,1,F,
0,WR,N,225053987,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,72,15.9,300,9/8/17,83,BLCA,1,F,
0,WR,N,225053988,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,71,16.1,300,9/8/17,83,BLCA,3,F,
0,WR,N,225053989,ORJU,5671,2,S,J,U,9,9,3,0,0,1,2,0,1,0,66,15.5,300,9/8/17,83,BLCA,3,F,
0,WR,N,225053990,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,67,17.4,300,9/8/17,83,BLCA,3,F,
0,WR,N,225053991,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,69,15.4,300,9/8/17,83,BLCA,3,F,
0,WR,N,225053992,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,75,17,300,9/8/17,83,BLCA,7,F,
0,WR,N,225053993,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,72,17..8,300,9/8/17,83,BLCA,7,F,
0,WR,N,225053994,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,76,18.4,300,9/8/17,83,BLCA,7,F,
0,WR,N,225053995,ORJU,5671,2,J,9,F,H,9,9,0,0,9,9,9,9,9,999,17,300,9/19/17,85,BLCA,10,F,
0,WR,N,225053996,ORJU,5671,2,J,9,M,H,9,9,0,0,9,9,9,9,9,999,17.8,300,9/19/17,85,BLCA,10,F,
0,WR,N,225053997,ORJU,5671,2,J,9,F,H,9,9,0,0,9,9,9,9,9,70,16.2,300,9/19/17,85,BLCA,10,F,
0,WR,N,225053998,ORJU,5671,2,J,9,U,9,9,9,0,0,9,9,9,9,9,77,18.5,300,9/19/17,85,BLCA,10,F,
0,WR,N,225053999,CHSP,,3,S,A,U,9,9,6,0,0,9,9,9,9,9,74,13,300,9/19/17,85,BLCA,10,F,
0,WR,N,225054000,ORJU,5671,2,J,9,F,H,9,9,0,0,9,9,9,9,9,68,15.9,300,9/19/17,85,BLCA,10,F,
0,WR,N,149008101,ORJU,5671,2,J,9,F,H,9,9,0,0,1,1,0,1,0,72,16,300,9/19/17,90,BLCA,10,F,
0,WR,N,149008102,ORJU,5671,2,J,9,M,H,9,9,0,0,1,1,0,1,0,78,17.8,300,9/19/17,92,BLCA,10,F,
0,WR,N,149008103,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,73,18.4,300,9/19/17,100,BLCA,10,F,
0,WR,N,149008104,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.5,300,9/19/17,100,BLCA,10,F,
0,WR,N,149008105,ORJU,5671,2,J,9,M,H,9,9,0,0,1,2,0,1,0,74,18.5,300,9/28/17,83,BLCA,10,F,
0,WR,N,149008106,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,74,18.7,300,9/28/17,93,BLCA,10,F,
0,WR,N,149008107,ORJU,5671,2,J,9,M,H,9,9,0,0,1,1,0,1,0,75,17.6,300,9/28/17,95,BLCA,10,F,
0,WR,N,149008108,ORJU,5671,2,J,9,F,H,9,9,0,0,2,1,0,1,0,70,17.4,300,9/28/17,95,BLCA,10,F,
0,WR,N,149008109,ORJU,5671,2,S,J,M,H,9,3,0,0,1,0,0,1,0,78,12.8,300,9/28/17,103,BLCA,7,F,
0,WR,N,149008110,AUWA,6560,2,S,J,M,H,9,3,0,0,1,0,0,1,0,74,12,300,10/3/17,90,BLCA,10,F,
0,WR,N,149008111,ORJU,5671,2,S,J,F,H,9,3,0,0,0,2,0,1,0,73,19.4,300,10/3/17,113,BLCA,9,F,
0,WR,N,149008112,ORJU,5671,2,J,9,U,9,9,9,9,9,1,9,9,9,9,999,18.5,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008113,ORJU,5671,2,J,9,U,9,9,9,9,9,1,9,9,9,9,999,999.9,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008114,ORJU,5671,2,J,9,F,H,9,9,9,9,1,9,9,9,9,999,17.2,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008115,ORJU,5671,2,J,9,M,H,9,9,9,9,2,9,9,9,9,999,17.5,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008116,ORJU,5671,2,J,9,F,H,9,9,9,9,2,9,9,9,9,999,16.5,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008117,ORJU,5671,2,J,9,U,9,9,9,9,9,2,9,9,9,9,999,17.4,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008118,ORJU,5671,2,J,9,M,H,9,9,9,9,2,9,9,9,9,999,16.4,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008119,ORJU,5671,2,J,9,F,H,9,9,9,9,2,9,9,9,9,999,19.6,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008120,ORJU,5671,2,J,9,U,9,9,9,9,9,2,2,0,9,9,999,18.7,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008121,MOCH,,3,S,I,U,9,9,6,0,0,1,0,A,1,0,67,10.8,300,10/12/17,90,BLCA,9,T,RS#2 = white; only flight feather that's white
0,WR,N,149008122,ORJU,5671,2,J,9,U,9,9,9,0,0,1,0,0,1,0,74,17.3,300,10/12/17,90,BLCA,9,F,
0,WR,N,149008123,ORJU,5671,2,J,9,F,H,9,9,0,0,0,0,0,1,0,71,16.4,300,10/12/17,90,BLCA,8,F,
0,WR,N,149008124,ORJU,5671,3,S,A,M,A,9,6,0,0,2,0,0,1,0,76,17,300,10/12/17,95,BLCA,7,T,missing right hallux nail
0,WR,N,149008125,ORJU,5671,2,J,9,M,H,9,9,0,0,2,1,0,1,0,75,16.9,300,10/12/17,95,BLCA,7,F,
0,WR,N,149008126,ORJU,5671,2,J,9,U,9,9,9,0,0,3,0,0,1,0,75,18.2,300,10/12/17,95,BLCA,7,F,
0,WR,N,149008127,ORJU,5671,2,J,9,F,H,9,9,0,0,9,9,9,9,9,71,999.9,300,10/12/17,104,BLCA,9,F,
0,WR,N,149008128,ORJU,5671,2,J,9,U,9,9,9,0,0,1,0,0,1,0,75,18,300,10/12/17,120,BLCA,9,F,
0,WR,N,149008129,ORJU,5671,2,J,9,F,H,9,9,0,0,2,0,0,1,0,70,17.1,300,10/12/17,120,BLCA,9,F,
0,WR,N,149008130,ORJU,5671,2,J,9,F,H,9,9,0,0,3,0,0,1,0,71,19.4,300,10/12/17,120,BLCA,8,F,
0A,WR,N,231030373,WIWA,6850,2,S,9,F,H,9,2,0,0,2,0,A,0,0,55,6.6,300,8/15/17,82,BLCA,2,F,
0A,WR,N,231030374,OCWA,6460,2,S,J,U,9,9,2,0,0,1,0,0,1,0,60,8.5,300,8/15/17,91,BLCA,1,F,
0A,WR,N,231030375,WIWA,6850,3,A,9,M,A,9,9,9,9,9,9,9,9,9,999,7.5,300,8/15/17,93,BLCA,9,F,
0A,WR,N,231030376,WIWA,6850,3,A,9,M,A,9,9,0,0,2,3,F,2,1,51,7.2,300,8/15/17,94,BLCA,2,F,
0A,WR,N,231030377,WIWA,6850,3,A,M,F,A,9,9,0,0,1,2,0,1,0,52,6.8,300,8/15/17,94,BLCA,2,F,
0A,WR,N,231030378,OCWA,6460,2,S,J,U,9,9,3,0,0,3,1,0,1,0,57,9.4,300,8/15/17,100,BLCA,9,F,
0A,WR,N,231030379,WIWA,6850,2,S,R,F,H,9,2,0,0,1,3,F,1,0,55,7,300,8/15/17,105,BLCA,2,F,
0A,WR,N,231030380,HOWR,,2,S,9,U,9,9,3,0,0,2,1,A,1,0,51,10.3,300,8/15/17,110,BLCA,2,F,
0A,WR,N,231030381,WIWA,6850,2,S,9,U,9,9,3,0,0,0,1,A,1,0,54,7.2,300,8/15/17,110,BLCA,2,F,
0A,WR,N,231030382,OCWA,6460,2,S,J,U,9,9,2,0,0,2,1,0,1,0,56,8.7,300,8/15/17,113,BLCA,2,F,
0A,WR,N,231030383,OCWA,6460,2,S,J,U,9,9,2,0,0,2,1,0,1,0,55,8,300,8/15/17,120,BLCA,7,F,
0A,WR,N,231030384,OCWA,6460,2,J,9,U,9,9,9,0,0,1,0,0,1,0,56,7.1,300,8/15/17,123,BLCA,6,F,
0A,WR,N,231030385,OCWA,6460,2,J,9,U,9,9,9,0,0,2,1,0,1,0,999,8.2,300,8/15/17,123,BLCA,6,F,
0A,WR,N,231030386,WIWA,6850,3,S,A,M,A,9,6,0,0,3,0,0,0,0,54,7.1,300,9/1/17,75,BLCA,5,F,
0A,WR,N,231030387,OCWA,6460,2,S,9,U,9,9,3,0,0,1,0,0,1,0,57,7.9,300,9/1/17,75,BLCA,2,F,
0A,WR,N,231030388,WIWA,6850,2,S,9,M,H,9,2,0,0,1,0,0,1,0,54,7,300,9/1/17,95,BLCA,2,F,
0A,WR,N,231030389,WIWA,6850,2,S,9,M,H,9,1,0,0,1,0,0,1,0,54,7,300,9/1/17,115,BLCA,6,F,
,WR,U,,OCWA,6460,2,J,9,U,9,9,9,0,0,4,0,0,1,0,56,10.5,300,9/8/17,120,BLCA,4,T,"O.c.orestera.  Banded left leg - Bird appears to have broken rt. leg at some point, but it has healed, and fairly straight too!"
0A,WR,N,231030390,OCWA,6460,2,J,9,U,9,9,9,0,0,4,0,0,1,0,61,10,300,9/19/17,100,BLCA,5,T,O.c.orestera
0A,WR,N,231030391,BRCR,,2,S,J,U,9,9,3,0,0,3,0,0,1,0,60,7.6,300,9/28/17,93,BLCA,10,F,
0A,WR,N,231030392,RCKI,7490,3,S,R,F,A,9,6,0,0,4,0,0,1,0,57,7.2,300,9/28/17,103,BLCA,3,F,
0A,WR,N,231030393,RCKI,7490,2,S,R,M,H,9,3,0,0,3,0,0,1,0,57,6.5,300,10/3/17,100,BLCA,3,F,
0A,WR,N,231030394,RCKI,7490,2,S,R,M,H,9,3,0,0,3,0,0,1,0,59,6.8,300,10/12/17,95,BLCA,4,F,
0A,WR,N,231030395,RCKI,7490,2,R,9,F,H,9,9,0,0,3,0,0,1,0,55,6.3,300,10/12/17,104,BLCA,9,F,
,WR,R,311175282,MGWA,6800,3,A,9,F,A,9,6,0,0,1,1,0,1,0,56,11.2,300,9/1/17,82,BLCA,6,,
,WR,R,230027598,WIWA,6850,3,A,9,M,A,9,6,0,0,1,0,0,1,0,56,7.1,300,9/1/17,95,BLCA,8,,
,WR,R,229061418,ORJU,5671,3,A,9,F,A,9,9,0,0,1,3,F,1,0,71,18,300,9/1/17,100,BLCA,6,,
,WR,N,252133797,SOSP,5810,U,9,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,9/8/17,93,BLCA,1,,
,WR,R,252133762,SOSP,5810,3,A,9,U,9,9,9,0,0,1,3,0,1,0,65,24,300,9/8/17,93,BLCA,7,,
,WR,R,225053975,LISP,,2,J,9,U,9,9,9,0,0,3,3,0,1,0,999,15.3,300,9/8/17,115,BLCA,1,,
,WR,R,252133797,SOSP,5810,U,9,9,U,9,9,9,0,0,1,1,F,1,0,999,20.8,300,9/28/17,999,BLCA,10,,
,WR,N,252133791,SOSP,5810,U,9,9,U,9,9,9,0,0,2,1,0,2,0,64,19,300,10/3/17,131,BLCA,3,,
,WR,R,311175776,LISP,,2,9,9,U,9,9,9,0,0,3,0,0,2,0,56,16.3,300,10/12/17,82,BLCA,10,,
