SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,Comment,NOTE
3,WR,N,105301151,RSFL,,5,A,9,F,A,9,9,0,0,2,0,0,1,0,161,136.4,300,10/12/17,101,BLCA,2,F,
2,WR,N,120254864,AMRO,,3,A,9,F,A,9,6,0,0,0,3,F,3,0,115,69.4,300,8/15/17,105,BLCA,6,F,
1A,WR,N,180123600,FOSP,5850,2,S,J,U,9,9,3,0,0,2,1,0,1,0,75,22.7,300,9/8/17,102,BLCA,9,F,
1A,WR,N,180123601,FOSP,5850,2,S,J,U,9,9,3,0,0,3,0,0,1,0,75,38.1,300,10/12/17,93,BLCA,10,T,"TL=70, bill depth = 7.4, nares to tip = 10.0, exp. cul = 12.3, Sooty type but w/ reddish wings"
1B,WR,N,190123003,GTTO,,2,S,J,U,9,9,2,0,0,2,1,0,2,1,75,27.6,300,8/15/17,123,BLCA,5,F,
1B,WR,N,190123004,MWCS,5546,2,J,9,U,9,9,9,0,0,1,2,0,1,0,76,25.2,300,9/1/17,110,BLCA,8,F,
1B,WR,N,190123005,GTTO,,2,J,S,U,9,9,3,0,0,3,1,0,2,0,77,27.9,300,9/8/17,110,BLCA,7,F,
1B,WR,N,190123006,MWCS,5546,3,A,9,U,9,9,6,0,0,1,1,0,1,0,76,27.2,300,9/8/17,110,BLCA,7,F,
1B,WR,N,190123007,MWCS,5546,3,A,9,U,9,9,6,0,0,1,2,0,1,0,77,27.2,300,9/8/17,110,BLCA,9,F,
1B,WR,N,190123008,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,72,24.3,300,9/19/17,84,BLCA,7,F,
1B,WR,N,190123009,GWCS,5550,2,J,9,U,9,9,9,0,0,0,0,0,1,0,999,21.8,300,9/19/17,84,BLCA,10,F,
1B,WR,N,190123010,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,77,24.2,300,9/19/17,93,BLCA,7,F,
1B,WR,N,190123011,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,1,0,77,26.2,300,9/28/17,93,BLCA,8,F,
1B,WR,N,190123012,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,1,0,77,24.3,300,9/28/17,93,BLCA,8,F,
1B,WR,N,190123013,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,2,0,73,21.7,300,9/28/17,93,BLCA,8,F,
1B,WR,N,190123014,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,78,23,300,9/28/17,100,BLCA,10,F,
1B,WR,N,190123015,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,74,25.4,300,10/3/17,90,BLCA,10,F,
1B,WR,N,190123016,GCSP,5570,2,J,9,U,9,9,9,0,0,1,0,0,2,0,75,26.6,300,10/3/17,100,BLCA,8,F,
1B,WR,N,190123017,GWCS,5550,2,J,9,U,9,9,9,0,0,2,0,0,2,0,72,23.1,300,10/3/17,103,BLCA,10,F,
1B,WR,N,190123018,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,2,0,77,28.9,300,10/3/17,113,BLCA,9,F,
1B,WR,N,190123019,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,1,0,75,28.3,300,10/12/17,83,BLCA,10,F,
1B,WR,N,190123020,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,1,0,74,20.5,300,10/12/17,92,BLCA,3,F,
1B,WR,N,190123021,GWCS,5550,2,J,9,U,9,9,9,0,0,3,0,0,1,0,75,26,300,10/12/17,121,BLCA,8,F,
1C,WR,N,311175756,MGWA,6800,3,M,B,F,A,B,9,4,0,1,3,F,1,0,56,10.2,300,8/15/17,82,BLCA,5,F,
1C,WR,N,311175757,MGWA,6800,2,S,J,F,H,9,2,0,0,1,0,0,1,0,58,10.2,300,8/15/17,91,BLCA,1,F,
1C,WR,N,311175758,MGWA,6800,2,S,J,F,H,9,2,0,0,1,0,0,1,0,54,8.9,300,8/15/17,94,BLCA,2,F,
1C,WR,N,311175759,MGWA,6800,2,S,J,F,H,9,2,0,0,1,0,0,1,0,55,9.5,300,8/15/17,110,BLCA,2,F,
1C,WR,N,311175760,MGWA,6800,2,S,9,U,9,9,2,0,0,1,0,0,2,0,59,10.7,300,8/15/17,113,BLCA,1,F,
1C,WR,N,311175761,MGWA,6800,2,S,J,F,H,9,2,0,0,1,0,0,1,0,55,11.1,300,9/1/17,81,BLCA,2,F,
1C,WR,N,311175762,LISP,,2,S,J,U,9,9,2,0,0,1,2,0,1,0,65,17.7,300,9/1/17,95,BLCA,1,F,
1C,WR,N,311175763,LISP,,2,S,9,U,9,9,2,0,0,1,1,0,0,0,63,16.8,300,9/1/17,110,BLCA,2,F,
1C,WR,N,311175764,LISP,,2,S,J,U,9,9,2,0,0,2,1,0,1,0,66,19.2,300,9/8/17,83,BLCA,3,F,
1C,WR,N,311175765,LISP,,2,S,J,U,9,9,2,0,0,3,1,0,1,0,65,21.1,300,9/8/17,83,BLCA,7,F,
1C,WR,N,311175766,LISP,,2,S,J,U,9,9,3,0,0,3,1,0,1,0,65,19.8,300,9/8/17,92,BLCA,7,F,
1C,WR,N,311175767,LISP,,2,S,J,U,9,9,2,0,0,3,1,0,1,0,63,18,300,9/8/17,103,BLCA,3,F,
1C,WR,N,311175768,LISP,,2,J,9,U,9,9,9,0,0,1,2,0,1,0,61,15.2,300,9/8/17,111,BLCA,1,F,
1C,WR,N,311175769,SAVS,5420,2,S,J,U,9,9,3,0,0,3,0,0,1,0,70,19.6,300,9/8/17,112,BLCA,8,F,
