SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
1,WR,N,183161071,SOSP,5810,3,A,9,U,9,9,9,0,0,1,3,F,0,0,63,21.8,300,8/24/12,80,POMA,9,F,
1,DG,N,183161072,SOSP,5810,2,S,9,U,9,9,1,0,0,0,3,0,0,0,62,19.1,300,8/24/12,81,POMA,6,F,
1,WR,N,183161073,SOSP,5810,3,S,9,U,9,9,6,0,0,0,3,F,4,0,63,22.6,300,8/24/12,82,POMA,6,F,
1,WR,N,183161074,SOSP,5810,3,A,M,U,9,9,9,0,0,1,3,F,0,0,66,19.8,300,8/24/12,84,POMA,7,F,
1,WR,N,183161075,SOSP,5810,3,A,M,M,C,9,9,0,1,1,3,F,0,0,65,22.3,300,8/24/12,84,POMA,3,F,
1,WR,N,183161076,SOSP,5810,2,S,J,U,9,9,2,0,0,2,2,0,0,0,63,19.1,300,8/24/12,114,POMA,9,F,
1,WR,N,183161077,SOSP,5810,3,A,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,8/25/12,80,BLCA,10,F,
1,WR,N,183161078,SOSP,5810,2,J,9,U,9,9,2,9,9,9,9,9,9,9,62,19.2,300,8/25/12,83,BLCA,8,F,
1,WR,N,183161079,SOSP,5810,3,M,9,U,9,9,9,0,0,1,3,F,1,0,63,21.3,300,8/25/12,90,BLCA,3,F,
1,WR,N,183161080,SOSP,5810,2,J,S,U,9,9,1,0,0,2,0,A,0,0,60,17.9,300,8/25/12,90,BLCA,8,F,
1,WR,N,183161081,SOSP,5810,2,S,J,U,9,9,3,0,0,2,1,0,0,0,61,18.5,300,8/25/12,93,BLCA,7,F,
1,WR,N,183161082,SOSP,5810,3,B,9,F,B,9,6,4,0,1,0,0,2,0,57,18.6,300,8/25/12,93,BLCA,7,F,
1,WR,N,183161083,PUFI,5170,2,S,J,U,9,9,1,0,0,3,0,0,0,0,77,19.8,300,8/25/12,94,BLCA,6,T,nares=9.6mm
1,WR,N,183161084,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.4,300,8/25/12,101,BLCA,8,F,
1,WR,N,183161085,SOSP,5810,2,S,J,U,9,9,1,0,0,3,2,F,0,0,66,20.1,300,8/25/12,112,BLCA,2,F,
1,WR,N,183161086,SOSP,5810,3,A,M,F,B,9,9,3,0,9,3,F,9,9,999,21.2,300,8/30/12,85,BLCA,999,T,no tail
1,WR,N,183161087,SOSP,5810,2,S,J,U,9,9,1,0,0,9,9,9,9,9,999,18.5,300,8/30/12,85,BLCA,7,F,
1,WR,N,183161088,SOSP,5810,3,A,B,F,B,9,9,0,0,1,3,F,1,0,66,20.7,300,8/30/12,93,BLCA,8,F,
1,WR,N,183161089,SOSP,5810,2,S,J,U,9,9,2,0,0,2,0,0,0,0,61,17.2,300,8/31/12,82,POMA,9,F,
1,DG,N,183161090,SOSP,5810,2,S,9,U,9,9,2,0,0,1,2,0,1,0,66,22,300,8/31/12,82,POMA,6,F,
1,WR,N,183161091,SOSP,5810,3,M,A,U,9,9,9,0,0,0,2,F,1,0,67,23,300,8/31/12,93,POMA,9,F,
1,WR,N,183161092,SOSP,5810,2,S,J,U,9,9,3,0,0,2,0,0,2,0,63,18,300,8/31/12,105,POMA,7,F,
1,WR,N,183161093,SOSP,5810,2,S,9,U,9,9,3,0,0,3,0,0,1,0,62,19.8,300,9/7/12,75,POMA,1,F,
1,WR,N,183161094,SOSP,5810,3,A,9,U,9,9,9,0,0,1,3,1,1,0,64,23.1,300,9/7/12,82,POMA,1,F,
1,WR,N,183161095,SOSP,5810,2,J,9,U,9,9,9,0,0,2,3,0,1,0,65,18.4,300,9/7/12,92,POMA,9,F,
1,WR,N,183161096,SOSP,5810,2,S,J,U,9,9,3,0,0,1,1,0,1,0,61,19.5,300,9/7/12,93,POMA,1,F,
1,WR,N,183161097,SOSP,5810,2,S,J,U,9,9,3,0,0,1,3,0,1,0,64,22,300,9/7/12,94,POMA,6,F,
1,WR,N,183161098,SOSP,5810,2,S,J,U,9,9,1,0,0,1,3,0,1,0,65,21.7,300,9/7/12,94,POMA,5,F,
1,WR,N,183161099,SOSP,5810,3,S,A,U,9,9,6,0,0,3,2,0,1,0,65,21.5,300,9/7/12,101,POMA,9,F,
1,WR,N,183161100,SOSP,5810,3,S,A,U,9,9,6,0,0,1,0,0,1,0,67,20.7,300,9/7/12,101,POMA,8,F,
1,WR,N,183161101,SOSP,5810,3,S,A,U,9,9,6,0,0,1,1,0,1,0,67,21.5,300,9/7/12,112,POMA,7,F,
1,WR,N,183161102,SOSP,5810,2,S,J,U,9,9,1,0,0,3,0,0,1,0,63,17.8,300,9/8/12,74,BLCA,3,F,
1,DG,N,183161103,SOSP,5810,3,S,9,M,C,9,6,0,1,0,1,F,0,0,68,22.2,300,9/8/12,83,BLCA,4,F,
1,WR,N,183161104,SOSP,5810,2,J,9,U,9,9,9,0,0,2,0,0,1,0,65,19.8,300,9/8/12,83,BLCA,3,F,
1,WR,N,183161105,SOSP,5810,3,A,M,U,9,9,6,0,0,1,3,F,2,1,65,22.5,300,9/8/12,95,BLCA,4,F,
1,WR,N,183161106,SOSP,5810,2,J,9,U,9,9,9,0,0,0,2,0,1,0,60,16.3,300,9/8/12,100,BLCA,5,F,
1,WR,N,183161107,SOSP,5810,2,S,9,U,9,9,4,0,0,2,2,0,2,0,65,19.9,300,9/12/12,73,POMA,6,F,
1,WR,N,183161108,SOSP,5810,3,S,C,M,C,9,6,0,0,1,0,0,2,0,65,20.5,300,9/12/12,102,POMA,3,F,
1,WR,N,183161109,SOSP,5810,2,J,9,U,9,9,9,0,0,1,1,0,1,0,63,18.8,300,9/14/12,85,BLCA,5,F,
1,WR,N,183161110,SOSP,5810,3,A,9,U,9,9,9,0,0,3,0,0,1,0,62,21.2,300,9/14/12,93,BLCA,7,F,
1,WR,N,183161111,SOSP,5810,2,J,9,U,9,9,9,0,0,2,2,0,1,0,62,20.2,300,9/14/12,104,BLCA,10,F,
1,DG,N,183161112,SOSP,5810,3,A,S,M,C,9,6,0,0,0,1,0,0,0,69,21.7,300,9/20/12,80,POMA,10,F,
1,WR,N,183161113,SOSP,5810,3,A,C,M,C,9,9,0,0,0,0,0,1,0,66,21.2,300,9/20/12,95,POMA,10,F,
1,WR,N,183161114,SOSP,5810,3,A,C,M,C,9,9,0,0,1,1,0,1,0,64,19.3,300,9/20/12,95,POMA,9,F,
1,WR,N,183161115,SOSP,5810,3,A,C,M,C,9,9,0,0,1,2,0,1,0,63,21.5,300,9/20/12,111,POMA,8,F,
1,DG,N,183161116,SOSP,5810,2,J,S,U,9,9,3,0,0,0,0,0,0,0,62,18.9,300,9/20/12,123,POMA,10,F,
1,WR,N,183161117,SOSP,5810,2,S,9,U,9,9,3,0,0,3,0,0,1,0,63,19.3,300,9/21/12,100,BLCA,5,F,
1,WR,N,183161118,SOSP,5810,3,A,9,U,9,9,9,0,0,1,1,0,2,0,61,18.4,300,9/24/12,90,POMA,8,F,
1,WR,N,183161119,SOSP,5810,3,A,9,U,9,9,9,0,0,1,3,A,1,0,61,19.2,300,9/24/12,100,POMA,999,F,
1,WR,N,183161120,SOSP,5810,3,A,9,U,9,9,9,9,9,9,9,9,9,9,65,999.9,300,9/24/12,112,POMA,5,F,
1,WR,N,183161121,SOSP,5810,3,A,9,U,9,9,9,9,9,2,9,9,9,9,999,20,300,9/26/12,84,COEA,3,F,
1,WR,N,183161122,SOSP,5810,3,A,9,U,9,9,9,0,0,0,1,0,0,0,66,22.3,300,9/26/12,103,COEA,3,F,
1,WR,N,183161123,SOSP,5810,2,J,S,U,9,9,1,0,0,1,1,0,0,0,65,21.1,300,9/26/12,113,COEA,5,F,
1,WR,N,183161124,SOSP,5810,2,J,9,U,9,9,9,0,0,1,3,0,1,0,66,23,300,9/27/12,83,BLCA,10,F,
1,WR,N,183161125,SOSP,5810,2,S,9,U,9,9,3,0,0,1,1,0,1,0,62,17.2,300,10/2/12,80,POMA,6,F,
1,WR,N,183161126,SOSP,5810,3,S,A,U,9,9,6,0,0,4,0,0,2,0,67,23.8,300,10/3/12,82,COEA,7,F,
1,WR,N,183161127,SOSP,5810,3,A,9,U,9,9,9,0,0,1,0,0,2,0,65,19.4,300,10/3/12,91,COEA,3,F,
1,WR,N,183161128,SOSP,5810,3,A,9,U,9,9,9,0,0,0,0,0,2,0,66,19.7,300,10/3/12,91,COEA,9,F,
1,WR,N,183161129,SOSP,5810,3,S,A,U,9,9,6,0,0,2,0,0,2,0,65,20.5,300,10/3/12,103,COEA,3,F,
1,DG,N,183161130,SOSP,5810,2,S,9,U,9,9,3,0,0,1,2,0,2,0,66,20.3,300,10/3/12,113,COEA,3,F,
1,WR,N,183161131,SOSP,5810,2,S,9,U,9,9,4,0,0,0,1,0,1,0,62,18.4,300,10/9/12,103,POMA,10,F,
1,WR,N,183161132,SOSP,5810,3,S,9,U,9,9,6,0,0,2,2,0,1,0,67,22.9,300,10/9/12,124,POMA,6,F,
1,WR,N,183161133,SOSP,5810,2,S,9,U,9,9,4,0,0,2,0,0,1,0,76,22.9,300,10/11/12,95,COEA,6,T,"tl=72, poss. Different subspecies, WHITE chin, large, strongly gray and chestnut marked face"
1,WR,N,183161134,SOSP,5810,3,A,9,U,9,9,9,9,9,9,9,9,9,9,999,20.3,300,10/11/12,104,COEA,5,F,
1,WR,N,183161135,SOSP,5810,2,S,9,U,9,9,3,0,0,5,0,0,1,0,64,20.8,300,10/12/12,103,BLCA,1,F,
3,WR,N,105301109,STJA,4780,3,A,M,U,9,9,9,0,0,1,2,F,1,0,142,119.5,300,9/7/12,95,POMA,5,F,
3,WR,N,105301110,STJA,4780,2,S,I,F,W,9,3,0,0,3,0,0,1,0,131,116.7,300,9/22/12,103,COEA,2,F,
