SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
,WR,U,,AUWA,6560,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,0,9/8/11,113,BLCA,10,T,,,Released at net b/c too busy and ran out of bags,
,WR,U,,AUWA,6560,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,0,9/8/11,113,BLCA,10,T,,,Released at net b/c too busy and ran out of bags,
,WR,U,,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,79,17.2,615,9/22/11,80,BLCA,10,T,,,killed by Accipiter in net,
,WR,U,,RUHU,4330,2,I,H,M,H,9,9,0,0,2,0,0,0,0,999,999.9,0,9/1/11,92,BLCA,3,F,,,,
,WR,U,,RUHU,4330,2,I,H,F,H,9,9,0,0,1,0,0,0,0,999,999.9,0,9/1/11,92,BLCA,9,F,,,,
,WR,U,,RUHU,4330,2,I,H,M,H,9,9,0,0,2,0,0,0,0,42,3.4,0,9/1/11,110,BLCA,3,T,,,3 red feathers,
,WR,U,,RUHU,4330,2,I,H,M,H,9,9,0,0,2,0,0,0,0,43,3.5,0,9/1/11,120,BLCA,3,T,,,2 red feathers,
,WR,U,,ANHU,4310,2,I,H,F,H,9,9,0,0,2,1,0,0,0,51,3.7,0,9/15/11,94,BLCA,5,F,,,,
1A,WR,N,180123541,SPTO,5880,5,A,R,M,A,9,6,0,0,1,0,0,0,0,85,36.7,300,9/22/11,83,BLCA,1,F,,,,
2,WR,N,120254846,AMRO,7210,3,A,C,M,C,9,9,0,2,0,3,F,3,1,123,89.3,300,9/15/11,102,BLCA,5,F,,,,
1B,WR,N,186142488,GTTO,5900,3,S,C,M,C,9,6,0,1,0,3,0,1,0,79,26.6,300,9/1/11,114,BLCA,9,T,,,couple of flat flies came off him,
1B,WR,N,186142489,GWCS,5550,2,S,J,U,9,9,2,0,0,2,0,0,1,0,78,23.1,300,9/8/11,84,BLCA,7,F,,,,
1B,WR,N,186142490,GWCS,5550,3,A,9,U,9,9,9,9,9,9,9,9,9,9,74,21.4,300,9/8/11,101,BLCA,5,F,,,,
1B,JB,N,186142491,GWCS,5550,3,A,S,U,9,9,6,0,0,0,0,0,1,0,77,24.1,300,9/15/11,80,BLCA,6,F,,,,
1B,WR,N,186142492,GWCS,5550,2,S,J,U,9,9,4,0,0,1,0,0,1,0,71,22,300,9/15/11,91,BLCA,3,F,,,,
1B,WR,N,186142493,GWCS,5550,2,S,J,U,9,9,2,0,0,0,0,0,1,0,72,21.9,300,9/15/11,91,BLCA,10,F,,,,
1B,WR,N,186142494,GWCS,5550,2,S,J,U,9,9,3,0,0,1,0,0,1,0,76,24,300,9/15/11,91,BLCA,5,F,,,,
1B,WR,N,186142495,GWCS,5550,2,J,9,U,9,9,9,0,0,0,0,0,1,0,76,23.5,300,9/15/11,91,BLCA,8,F,,,,
1B,JB,N,186142496,GWCS,5550,3,S,J,U,9,9,6,0,0,0,0,0,1,0,77,24,300,9/15/11,91,BLCA,4,F,,,,
1B,WR,N,186142497,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,1,0,77,25.3,300,9/15/11,94,BLCA,6,F,,,,
1B,JB,N,186142498,GWCS,5550,3,S,J,U,9,9,6,0,0,1,0,0,1,0,74,23.5,300,9/15/11,94,BLCA,3,F,,,,
1B,WR,N,186142499,GWCS,5550,2,J,9,U,9,9,9,0,0,2,0,0,1,0,71,23.6,300,9/15/11,94,BLCA,8,F,,,,
1B,JB,N,186142500,GWCS,5550,2,J,9,U,9,9,2,0,0,0,0,0,1,0,71,22.7,300,9/15/11,100,BLCA,7,F,,,,
1B,JB,N,186142501,GWCS,5550,2,S,J,U,9,9,2,0,0,0,0,0,1,0,72,999.9,300,9/15/11,100,BLCA,8,F,,,,
1B,JB,N,186142502,GWCS,5550,2,S,J,U,9,9,2,0,0,0,0,0,1,0,72,23.2,300,9/15/11,103,BLCA,5,F,,,,
1B,JB,N,186142503,GWCS,5550,2,S,J,U,9,9,2,0,0,1,0,0,1,0,74,24.8,300,9/15/11,114,BLCA,7,F,,,,
1B,WR,N,186142504,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,1,1,79,24.5,300,9/22/11,80,BLCA,3,F,,,,
1B,WR,N,186142505,GWCS,5550,3,S,A,U,9,9,6,0,0,2,0,0,1,0,75,24.1,300,9/22/11,90,BLCA,1,F,,,,
1B,WR,N,186142506,GWCS,5550,3,A,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,9/22/11,92,BLCA,7,F,,,,
1B,WR,N,186142507,GWCS,5550,2,S,J,U,9,9,2,0,0,2,0,0,1,0,72,21.3,300,9/22/11,101,BLCA,7,F,,,,
