SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
0A,WR,N,267015142,CHSP,5600,3,S,M,U,9,9,6,0,0,4,0,F,1,0,67,14,300,9/6/13,100,BLCA,10,F,
0A,WR,N,267015143,CHSP,5600,2,S,9,U,9,9,2,0,0,3,0,0,1,0,69,13.4,300,9/9/13,82,COCA,1,F,
0A,WR,N,267015144,CHSP,5600,2,S,9,U,9,9,3,0,0,1,0,0,1,0,69,13.4,300,9/9/13,82,COCA,1,F,
0A,WR,N,267015145,BRCR,7260,2,S,F,U,9,9,3,0,0,1,1,0,1,0,62,8,300,9/9/13,90,COCA,1,F,
0A,WR,N,267015146,CHSP,5600,2,S,9,U,9,9,4,0,0,2,2,0,1,0,67,12.5,300,9/9/13,105,COCA,9,F,
0A,WR,N,267015147,OCWA,6460,2,S,J,U,9,9,4,0,0,4,0,0,1,0,55,8.3,300,9/10/13,84,BLCA,10,F,
0A,WR,N,267015148,CHSP,5600,2,S,J,U,9,9,3,9,9,9,9,9,9,9,999,10.8,300,9/10/13,92,BLCA,1,F,
0A,WR,N,267015149,OCWA,6460,2,S,J,U,9,9,3,0,0,3,0,0,1,0,59,8.4,300,9/10/13,92,BLCA,1,F,
0A,WR,N,267015150,WIWA,6850,5,A,R,M,A,9,6,0,0,4,0,0,0,0,56,8.5,300,9/11/13,85,COEA,9,F,
0A,WR,N,267015151,OCWA,6460,2,S,J,U,9,9,5,0,0,1,0,0,1,0,61,8.5,300,9/11/13,93,COEA,7,F,
0A,WR,N,267015152,OCWA,6460,2,S,J,U,9,9,5,0,0,1,0,0,1,0,56,8,300,9/11/13,95,COEA,10,F,
0A,WR,N,267015153,WIWA,6850,2,S,R,M,H,9,3,0,0,4,0,0,1,0,999,8.7,300,9/18/13,95,COEA,9,F,
0A,WR,N,267015154,OCWA,6460,2,S,H,U,9,9,4,0,0,3,0,0,1,0,58,10,300,9/19/13,90,COCA,5,T,O.c. orestera
0A,WR,N,267015155,OCWA,6460,2,S,H,M,H,9,4,0,0,4,0,0,1,0,59,10.2,300,9/19/13,104,COCA,5,T,O.c. lutescens
0A,WR,N,267015156,RCKI,7490,2,S,R,F,H,9,2,0,0,2,1,0,0,0,56,5.9,300,9/20/13,92,BLCA,10,F,
0A,WR,N,267015157,OCWA,6460,2,J,9,U,9,9,9,0,0,3,0,0,1,0,60,9.2,300,10/1/13,84,POMA,1,F,
0A,WR,N,267015158,RCKI,7490,2,S,9,F,H,9,2,0,0,3,0,0,0,0,57,6.4,300,10/2/13,100,COEA,3,F,
0A,WR,N,267015159,BRCR,7260,2,S,9,U,9,9,3,0,0,3,1,A,1,0,62,8,300,10/10/13,102,COEA,2,F,
0A,WR,N,267015160,BUSH,7430,2,S,9,U,9,9,2,0,0,3,1,F,2,0,42,999.9,300,10/10/13,104,COEA,7,T,"plumbeus, dark iris"
0A,WR,N,267015161,BUSH,7430,U,9,9,U,9,9,9,0,0,3,1,F,1,0,51,6.6,300,10/10/13,104,COEA,7,T,"plumbeus, dark iris"
0A,WR,N,267015162,BUSH,7430,3,E,9,F,E,9,9,0,0,3,3,F,1,0,49,999.9,300,10/10/13,104,COEA,7,F,
0A,WR,N,267015163,BUSH,7430,2,S,9,U,9,9,3,0,0,3,3,F,1,0,53,6.8,300,10/10/13,110,COEA,7,T,"plumbeus, dark iris"
0A,WR,N,267015164,BUSH,7430,U,9,9,U,9,9,9,0,0,3,2,F,1,0,51,6.8,300,10/10/13,113,COEA,4,T,"plumbeus, dark iris"
0A,WR,N,267015165,BUSH,7430,2,S,9,U,9,9,3,0,0,2,3,F,1,0,51,6.1,300,10/10/13,113,COEA,4,T,"plumbeus, dark iris"
0A,WR,N,267015166,RCKI,7490,2,S,9,F,H,9,2,0,0,3,0,0,1,0,57,6,300,10/10/13,113,COEA,7,F,
0,WR,R,269016809,ORJU,5671,3,S,B,F,B,9,6,3,0,1,0,0,1,0,70,18.3,300,8/13/13,82,BLCA,2,F,
0,WR,R,269016915,MOCH,7380,U,9,9,U,9,9,9,9,9,2,9,9,9,9,999,11.2,300,10/10/13,112,COEA,10,F,
0,WR,N,272065001,ORJU,5671,3,S,B,F,B,9,6,0,0,3,0,0,2,1,71,17,300,8/9/13,81,COCA,5,T,
0,WR,R,272065001,ORJU,5671,3,M,9,U,9,9,9,0,0,1,3,0,1,0,72,16.9,300,9/19/13,83,COCA,8,F,
0,WR,N,272065002,ORJU,5671,2,S,J,U,9,9,2,0,0,2,1,0,1,0,70,15.9,300,8/9/13,95,COCA,9,F,
0,WR,N,272065003,ORJU,5671,2,S,J,U,9,9,2,0,0,2,0,0,1,0,73,18.2,300,8/9/13,95,COCA,9,F,
0,WR,N,272065004,ORJU,5671,2,S,J,U,9,9,1,0,0,2,1,0,1,0,70,15.2,300,8/9/13,95,COCA,9,F,
0,WR,N,272065005,ORJU,5671,2,S,J,U,9,9,2,0,0,2,3,0,1,0,73,17.7,300,8/9/13,95,COCA,9,F,
0,WR,N,272065006,MOCH,7380,2,I,9,U,9,9,9,0,0,3,3,0,1,0,66,11.1,300,8/9/13,95,COCA,2,F,
0,WR,N,272065007,MOCH,7380,2,I,9,U,9,9,9,0,0,2,2,0,1,0,66,11.9,300,8/9/13,95,COCA,1,F,
0,WR,N,272065008,ORJU,5671,2,S,J,U,9,9,3,0,0,1,1,0,1,0,76,18.2,300,8/9/13,105,COCA,9,T,
0,WR,R,272065008,ORJU,5671,2,J,9,M,H,9,9,0,0,1,2,0,2,0,76,18.3,300,9/9/13,105,COCA,8,F,
0,WR,N,272065009,ORJU,5671,2,S,J,U,9,9,1,0,0,1,3,0,1,0,70,18.1,300,8/13/13,72,BLCA,10,F,
0,WR,N,272065010,ORJU,5671,2,S,J,U,9,9,2,0,0,1,3,0,1,0,76,19.2,300,8/13/13,72,BLCA,10,F,
0,WR,N,272065011,ORJU,5671,2,S,J,U,9,9,1,0,0,1,0,0,0,0,76,17.3,300,8/13/13,73,BLCA,1,F,
0,WR,N,272065012,ORJU,5671,2,S,J,U,9,9,2,0,0,1,0,0,1,0,71,14.9,300,8/13/13,73,BLCA,1,F,
0,WR,N,272065013,ORJU,5671,2,S,J,U,9,9,1,0,0,2,0,0,1,0,74,17..4,300,8/13/13,73,BLCA,1,F,
0,WR,N,272065014,ORJU,5671,2,J,9,U,9,9,9,9,9,2,9,9,9,9,999,16.2,300,8/13/13,80,BLCA,10,F,
0,WR,N,272065015,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.2,300,8/13/13,80,BLCA,10,F,
0,WR,R,272065015,ORJU,5671,U,9,9,U,9,9,9,9,9,9,9,9,9,9,999,17.3,300,8/30/13,83,BLCA,10,F,
0,WR,N,272065016,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.1,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065017,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065018,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.5,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065019,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.5,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065020,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.3,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065021,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065022,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.8,300,8/13/13,85,BLCA,10,F,
0,WR,N,272065023,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,68,15,300,8/13/13,93,BLCA,6,T,
0,WR,N,272065024,PISI,5330,2,S,9,U,9,9,2,0,0,2,1,0,1,0,70,11.6,300,8/13/13,93,BLCA,6,F,
0,WR,N,272065025,HAFL,4680,2,S,9,U,9,9,3,0,0,0,2,0,1,0,69,10.4,300,8/13/13,93,BLCA,4,F,
0,WR,N,272065026,DUFL,4690,2,S,J,U,9,9,3,0,0,0,1,0,1,0,63,10.9,300,8/13/13,93,BLCA,5,F,
0,WR,N,272065027,DUFL,4690,2,S,J,U,9,9,2,0,0,1,0,0,1,0,65,10.9,300,8/13/13,93,BLCA,3,F,
0,WR,N,272065028,DUFL,4690,3,S,A,U,9,9,6,0,0,1,0,0,1,0,63,10.2,300,8/13/13,93,BLCA,3,F,
0,WR,N,272065029,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,15.3,300,8/13/13,101,BLCA,7,F,
0,WR,R,272065029,ORJU,5671,2,J,9,U,9,9,9,9,9,1,1,0,1,0,999,15.6,300,8/22/13,114,BLCA,10,F,
0,WR,N,272065030,ORJU,5671,3,A,B,F,A,B,9,3,0,1,0,0,1,0,999,15.6,300,8/13/13,101,BLCA,8,T,
0,WR,R,272065030,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,A,1,0,999,17.7,300,9/6/13,75,BLCA,6,F,
0,WR,N,272065031,ORJU,5671,2,J,9,U,9,9,4,9,9,9,9,9,9,9,999,15.8,300,8/13/13,101,BLCA,8,F,
0,WR,N,272065032,ORJU,5671,2,J,9,U,9,9,9,0,0,1,1,0,1,0,74,17.5,300,8/13/13,105,BLCA,5,F,
0,WR,N,272065033,DUFL,4690,3,S,A,U,9,9,6,0,0,2,0,0,1,0,66,11.4,300,8/13/13,105,BLCA,4,F,
0,WR,N,272065034,YWAR,6520,2,S,9,U,9,9,2,0,0,1,1,0,1,0,56,9.1,300,8/15/13,74,COEA,3,F,
0,WR,N,272065035,YWAR,6520,3,S,M,F,A,9,6,0,0,2,2,0,0,0,54,8.9,300,8/15/13,82,COEA,7,F,
0,WR,N,272065036,YWAR,6520,3,S,9,M,A,9,6,0,0,1,1,0,1,0,60,9.4,300,8/15/13,100,COEA,4,F,
0,WR,N,272065037,YWAR,6520,3,S,9,M,A,9,6,0,0,1,1,0,1,0,61,8.9,300,8/15/13,100,COEA,4,F,
0,WR,N,272065038,AUWA,6560,3,S,C,M,A,C,6,0,2,2,2,F,4,1,81,12.4,300,8/15/13,100,COEA,1,F,
0,WR,N,272065039,BLPH,4580,2,S,J,U,9,9,3,0,0,1,1,0,0,0,86,18.6,300,8/15/13,111,COEA,9,F,
0,WR,N,272065040,BLPH,4580,2,S,J,U,9,9,2,0,0,2,1,0,1,0,84,18.5,300,8/15/13,111,COEA,7,F,
0,WR,N,272065041,AUWA,6560,2,S,J,U,9,9,2,0,0,1,1,0,1,0,74,11.5,300,8/16/13,75,COCA,2,F,
0,WR,N,272065042,ORJU,5671,3,A,B,F,A,B,9,4,0,1,2,0,1,0,75,20.1,300,8/16/13,81,COCA,2,F,
0,WR,N,272065043,ORJU,5671,2,S,9,U,9,9,9,0,0,1,3,0,1,0,71,17.7,300,8/16/13,81,COCA,2,F,
0,WR,N,272065044,ORJU,5671,2,S,9,U,9,9,9,0,0,1,2,0,1,0,72,17.2,300,8/16/13,81,COCA,2,F,
0,WR,R,272065044,ORJU,5671,2,S,J,U,9,9,2,0,0,0,0,0,1,0,71,16.9,300,8/21/13,100,COCA,3,F,
0,WR,N,272065045,ORJU,5671,2,S,9,U,9,9,9,0,0,1,2,0,2,0,70,16.5,300,8/16/13,81,COCA,2,F,
