SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
3,WR,N,105301105,STJA,4780,3,M,9,U,9,9,9,9,0,2,3,F,0,0,145,145.6,300,8/25/10,81,COEA,1,T,,,SY? Mouth sure pinkish towards base, 
3,WR,N,105301106,RSFL,4130,2,P,H,M,H,9,9,0,0,2,3,F,1,0,155,158.7,300,9/1/10,120,COEA,2,F,,,,
3,WR,N,105301107,STJA,4780,2,I,H,U,9,9,9,0,0,2,1,0,1,0,138,131.5,300,9/10/10,104,COEA,5,F,,,,
3,WR,U,,SSHA,3320,2,H,9,M,H,9,9,9,9,9,9,9,9,9,9,999.9,000,9/10/10,104,COEA,5,F,,,,
3,WR,N,105301108,RSFL,4130,2,P,H,F,H,9,9,0,0,1,1,0,1,0,162,140.6,300,9/26/10,110,COEA,9,F,,,,
2,WR,N,120254845,AMRO,7610,2,S,J,U,9,9,9,0,0,1,1,0,1,0,124,70.5,300,8/10/10,111,COEA,10,F,,,,
1A,WR,N,180123536,BHGR,5960,2,S,H,M,H,9,1,0,0,2,2,0,0,0,95,41.2,300,8/10/10,101,COEA,3,F,,,,
1A,WR,N,180123537,WISA,4040,2,H,M,F,H,9,9,0,0,1,2,F,1,0,120,70.7,300,8/25/10,110,COEA,2,F,,,,
1A,WR,N,180123538,WISA,4040,2,H,P,F,H,9,9,0,0,1,2,F,1,0,133,74.8,300,9/1/10,91,COEA,10,F,,,,
1A,WR,N,180123539,WISA,4040,2,H,P,F,H,9,9,0,0,2,2,F,1,0,128,78.1,300,9/1/10,81,COEA,1,F,,,,
1A,WR,N,180123540,GTTO,5900,2,S,9,U,9,9,4,0,0,3,0,0,1,0,75,29.4,300,9/15/10,115,COEA,3,F,,,,
1B,WR,N,186142471,WETA,6070,2,S,9,U,9,9,1,0,0,1,1,0,0,0,92,28.1,300,8/17/10,73,COEA,3,T,,,Prob. male by plumage.  Brighter rump,
1B,WR,N,186142472,DOWO,3940,2,P,H,U,9,9,9,0,0,1,2,F,1,1,91,23.9,300,8/17/10,100,COEA,8,F,,,,
1B,WR,N,186142473,DOWO,3940,2,P,H,U,9,9,9,0,0,0,2,F,1,0,94,24.1,300,8/17/10,100,COEA,8,F,,,,
1B,WR,N,186142474,WETA,6070,2,S,H,M,H,9,2,0,0,2,2,0,0,0,96,32.1,300,8/17/10,101,COEA,4,F,,,,
1B,WR,N,186142475,WETA,6070,2,S,H,F,H,9,1,0,0,1,2,0,1,0,92,29.5,300,8/17/10,101,COEA,4,F,,,,
1B,WR,N,186142476,MOCH,7210,3,M,9,U,9,9,9,0,0,2,3,F,1,0,64,11.6,300,8/17/10,121,COEA,2,T,,,thick growths on tarsus scutes.  Feet fully functional though,
1B,WR,N,186142477,MWCS,5546,2,J,9,U,9,9,9,0,0,1,3,A,1,0,80,30.0,300,8/25/10,114,COEA,10,F,,,,
1B,WR,N,186142478,OSFL,4590,2,S,J,U,9,9,3,0,0,1,1,0,1,1,109,35.2,300,9/1/10,110,COEA,1,F,,,,
1B,WR,N,186142479,WCSP,5540,2,S,H,U,9,9,3,0,0,1,2,0,1,0,80,26.8,300,9/10/10,90,COEA,4,T,,,"Prob. GWCS, but just not certain",
1B,WR,N,186142480,DOWO,3940,3,A,M,M,A,9,9,0,0,0,1,F,1,0,95,25.2,300,9/15/10,101,COEA,9,F,,,,
1B,WR,N,186142481,GWCS,5550,3,A,9,U,9,9,6,0,0,1,0,0,1,0,78,23.7,300,9/22/10,72,COEA,9,F,,,,
1B,WR,N,186142482,GWCS,5550,3,A,9,U,9,9,6,0,0,2,0,0,1,0,76,23.7,300,9/22/10,90,COEA,10,F,,,,
1B,WR,N,186142483,GWCS,5550,2,S,H,U,9,9,4,0,0,3,0,0,1,0,75,23.1,300,9/26/10,92,COEA,9,F,,,,
1B,WR,N,186142484,GWCS,5550,3,A,9,U,9,9,6,0,0,3,0,0,1,0,77,25.4,300,9/26/10,102,COEA,4,F,,,,
1B,WR,N,186142485,GWCS,5550,2,S,9,U,9,9,4,0,0,2,0,0,1,0,77,25.7,300,9/26/10,111,COEA,3,F,,,,
1B,WR,N,186142486,GWCS,5550,2,S,9,U,9,9,4,0,0,1,0,0,1,0,74,22.3,300,9/26/10,120,COEA,2,F,,,,
1B,WR,N,186142487,GWCS,5550,2,S,J,U,9,9,2,0,0,2,0,0,1,0,74,22.8,300,9/26/10,122,COEA,2,F,,,,
1,WR,N,183161014,SOSP,5810,3,S,B,F,B,9,6,2,0,2,0,0,2,1,62,18.4,300,8/10/10,75,COEA,9,F,,,,
1,WR,N,183161015,SOSP,5810,3,S,9,U,9,9,6,0,0,2,0,0,2,0,61,18.1,300,8/10/10,75,COEA,9,F,,,,
1,JB,N,183161016,SOSP,5810,3,S,B,F,B,9,6,3,0,0,0,0,4,0,61,999.9,300,8/10/10,84,COEA,4,F,,,,
1,WR,N,183161017,SOSP,5810,2,S,9,U,9,9,2,0,0,0,0,0,1,0,65,19.6,300,8/10/10,92,COEA,9,F,,,,
1,WR,N,183161018,SOSP,5810,3,S,B,F,B,9,6,3,0,2,0,0,3,2,60,18.8,300,8/10/10,92,COEA,8,F,,,,
1,WR,N,183161019,SOSP,5810,2,S,J,U,9,9,3,0,0,3,0,0,1,0,65,999.9,300,8/10/10,94,COEA,3,F,,,,
1,WR,N,183161020,SOSP,5810,2,S,J,U,9,9,2,0,0,1,0,0,1,0,63,20.0,300,8/17/10,80,COEA,10,F,,,,
1,WR,N,183161021,SOSP,5810,3,S,M,U,9,9,6,0,0,1,3,F,3,1,64,20.5,300,8/17/10,91,COEA,7,F,,,,
1,WR,N,183161022,SOSP,5810,2,S,J,U,9,9,2,0,0,2,0,0,0,0,65,20.0,300,8/25/10,92,COEA,9,F,,,,
1,WR,N,183161023,SOSP,5810,2,S,9,U,9,9,3,0,0,2,0,0,0,0,67,20.9,300,9/1/10,90,COEA,4,F,,,,
1,WR,N,183161024,SOSP,5810,3,M,9,U,9,9,9,0,0,1,3,F,1,0,63,19.4,300,9/10/10,95,COEA,3,F,,,,
1,WR,N,183161025,SOSP,5810,3,M,S,U,9,9,6,0,0,1,1,F,1,0,62,19.1,300,9/15/10,82,COEA,4,F,,,,
1,WR,N,183161026,SOSP,5810,3,S,9,U,9,9,6,0,0,1,1,0,1,0,62,19.1,300,9/15/10,82,COEA,7,F,,,,
1,WR,N,183161027,SOSP,5810,2,S,H,U,9,9,2,0,0,2,1,A,1,0,62,17.6,300,9/22/10,82,COEA,9,F,,,,
1,WR,N,183161028,SOSP,5810,2,S,9,U,9,9,2,0,0,2,1,0,1,0,61,20.5,300,9/22/10,103,COEA,3,F,,,,
1,HP,N,183161029,SOSP,5810,3,S,M,U,9,9,6,0,0,1,2,F,1,0,63,20.7,300,9/26/10,82,COEA,3,F,,,,
1,WR,N,183161030,SOSP,5810,3,S,9,U,9,9,6,0,0,1,2,0,1,0,65,20.0,300,9/26/10,92,COEA,10,F,,,,
1,WR,N,183161031,SOSP,5810,2,S,J,U,9,9,1,0,0,2,3,0,1,0,60,19.5,300,9/26/10,122,COEA,4,F,,,,
1C,WR,N,311175072,WAVI,6270,3,S,9,U,9,9,6,0,0,4,0,0,2,1,62,12.8,300,8/17/10,999,COEA,7,F,,,,
1C,WR,N,311175073,SAVS,5420,2,S,H,U,9,9,2,0,0,2,2,0,1,0,65,15.4,300,8/25/10,999,COEA,8,F,,,,
1C,WR,N,311175074,LAZB,5990,2,S,J,U,9,9,2,0,0,1,0,0,1,0,69,12.9,300,9/10/10,999,COEA,7,F,,,,
1C,WR,N,311175075,LISP,5830,2,S,9,U,9,9,3,0,0,4,0,0,1,0,59,17.9,300,9/26/10,999,COEA,3,F,,,,
X,WR,U,,BCHU,4290,2,I,H,M,H,9,9,0,0,3,0,0,0,0,44,3.2,300,8/25/10,90,COEA,6,T,,,tl=26,
0A,JB,N,230027437,OCWA,6460,3,S,9,U,9,9,6,0,0,0,2,0,1,9,59,9.0,300,8/10/10,75,COEA,9,F,,,,
0A,JB,N,230027438,OCWA,6460,2,S,9,U,9,9,3,0,0,0,1,0,1,0,57,9.4,300,8/10/10,94,COEA,4,F,,,,
